uid,geocoded_lat,geocoded_lon,geocode_accuracy,geocode_accuracy_type,geocode_source,has_historic_keyword,historic_constraint,is_primarily_cemetery,is_mixed_cemetery,has_cemetery_component,cemetery_constraint,combined_constraint,development_potential_adjusted
69A3-85-1297_KING-WILLIAM_VA_D21D685F-A442-43AD-A86A-8734AB3B5C35,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A3-85-1295_KING-WILLIAM_VA_E21748C0-2D5B-4660-9BE6-060FF446948E,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A1-46-631_KING-WILLIAM_VA_9915CB0D-3B70-465A-AB69-115AA4DFC79E,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A1-46-627_KING-WILLIAM_VA_AAF45E17-20A1-48C2-A4BC-0299FDDEE23D,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A1-46-624_KING-WILLIAM_VA_6876F922-53C6-4657-AF16-7938B0C365EA,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A3-85-1296_KING-WILLIAM_VA_E91AD8B2-300E-4B00-B046-A86A15F5040F,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A1-46-625_KING-WILLIAM_VA_187B8D42-5F7B-4656-B4BA-ADD95D25E88A,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A3-85-1294B_KING-WILLIAM_VA_22BD56EC-9A79-456A-A76C-EE3813CB3D38,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A1-46-624A_KING-WILLIAM_VA_EDAB549D-3F2E-4166-B4A1-0AAACCE5B22C,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A3-85-1300_KING-WILLIAM_VA_AA831D06-E78D-4D56-B9F6-0C9CD7068248,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
69A3-85-1301_KING-WILLIAM_VA_F28D9823-8048-4A27-B784-0F1D1F70A60E,37.78257,-77.174421,0.54,street_center,Geocodio,FALSE,0,FALSE,NA,NA,0,0,Small Parcel
