congregation_name,sadd,scity,scounty,pid,lat,lon,lan_val,zon,missing_land_value,missing_zoning
Little Fork Episcopal Church,"16471 OAK SHADE RD, RIXEYVILLE 22737",RIXEYVILLE,CULPEPER,14       11A,38.601057,-77.953831,NA,A1,TRUE,FALSE
Little Fork Episcopal Church,"OAK SHADE RD, RIXEYVILLE 22737",RIXEYVILLE,CULPEPER,14        4A,38.598969,-77.95523,NA,A1,TRUE,FALSE
Christ Church,"14586 ALANTHUS RD, BRANDY STATION 22714",BRANDY STATION,CULPEPER,33       30,38.502502,-77.894417,NA,CS,TRUE,FALSE
St Lukes Church,"403 NORTH RAPPAHANNOCK ST, REMINGTON 22734",REMINGTON,FAUQUIER,6887-09-4394-000,38.536965,-77.80924800000001,200000,NA,FALSE,TRUE
Emmanuel Church,"17062 JAMES MADISON PKWY, KING GEORGE 22485",KING GEORGE,KING-GEORGE,38 20,38.179528,-77.185808,NA,A1,TRUE,FALSE
St Johns Church,KING GEORGE 22485,KING GEORGE,KING-GEORGE,24B 4 20B,38.267559,-77.18148699999999,NA,C2,TRUE,FALSE
St Johns Church,"10367 RECTORY LN, KING GEORGE 22485",KING GEORGE,KING-GEORGE,24 155,38.270151,-77.174342,NA,A2,TRUE,FALSE
St Davids Church,"11253 WEST RIVER RD, AYLETT 23009",AYLETT,KING-WILLIAM,22-63,37.785479,-77.10392,800000,NA,FALSE,TRUE
St Pauls Church,"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,69A3-85-1297,37.538384,-76.797358,80000,NA,FALSE,TRUE
St Pauls Church,"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,69A3-85-1295,37.538427000000006,-76.797017,80000,NA,FALSE,TRUE
St Pauls Church,"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,69A3-85-1296,37.53858,-76.797102,80000,NA,FALSE,TRUE
St Pauls Church,"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,69A3-85-1294B,37.538339,-76.796967,80000,NA,FALSE,TRUE
St Pauls Church,"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,69A3-85-1300,37.538324,-76.797532,80000,NA,FALSE,TRUE
St Pauls Church,"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,69A3-85-1301,37.538263,-76.797706,80000,NA,FALSE,TRUE
Grace Memorial Church,"7051 ORE BANK RD, PORT REPUBLIC 24471",PORT REPUBLIC,ROCKINGHAM,P3140,38.300549,-78.766936,100700,NA,FALSE,TRUE
St Stephen & the Good Shepherd,"7078 ROCKY BAR RD, ELKTON 22827",ELKTON,ROCKINGHAM,P27499,38.345031,-78.70047,101900,NA,FALSE,TRUE
St Stephen & the Good Shepherd,"7066 ROCKY BAR RD, ELKTON 22827",ELKTON,ROCKINGHAM,P36106,38.344452,-78.70038,15000,NA,FALSE,TRUE
St Andrews Church,"5880 MAIN ST, MOUNT JACKSON 22842",MOUNT JACKSON,SHENANDOAH,91A1-((A))-164,38.747896999999995,-78.641126,126800,NA,FALSE,TRUE
St James Church,MONTROSS 22520,MONTROSS,WESTMORELAND,34A2-1-6-7E,38.094116,-76.827473,NA,A1,TRUE,FALSE
St Pauls Church Nomini Grove,WARSAW 22572,WARSAW,WESTMORELAND,52-8A,38.034041,-76.744599,NA,A1,TRUE,FALSE
St James Church,"218 RECTORY RD, MONTROSS 22520",MONTROSS,WESTMORELAND,34-132,38.092374,-76.825491,NA,A1,TRUE,FALSE
St Johns Episcopal Church,"103 SAINT JOHNS CHURCH LN, WEST POINT 23181",WEST POINT,KING-WILLIAM,54-67,37.616651999999995,-76.920198,115500,NA,FALSE,TRUE
Emmanuel Church,"11005 LAMBS CREEK CHURCH RD, KING GEORGE 22485",KING GEORGE,KING-GEORGE,22 25,38.264463,-77.26673,NA,A2,TRUE,FALSE
St Johns Church,"9403 KINGS HWY, KING GEORGE 22485",KING GEORGE,KING-GEORGE,24B 4 20,38.267347,-77.181672,NA,C2,TRUE,FALSE
St Davids Church,"11291 WEST RIVER RD, AYLETT 23009",AYLETT,KING-WILLIAM,22-65,37.78489,-77.103395,46750,NA,FALSE,TRUE
St James Church,MONTROSS 22520,MONTROSS,WESTMORELAND,34A2-1-6-12A,38.094094,-76.826997,NA,A1,TRUE,FALSE
St James Church,"15870 KINGS HWY, MONTROSS 22520",MONTROSS,WESTMORELAND,34A2-1-6-11,38.094819,-76.827101,NA,A1,TRUE,FALSE
St James Church,MONTROSS 22520,MONTROSS,WESTMORELAND,34A2-1-6-7B,38.09448,-76.827351,NA,A1,TRUE,FALSE
St Pauls Church Nomini Grove,WARSAW 22572,WARSAW,WESTMORELAND,52-9,38.0338,-76.745535,NA,A1,TRUE,FALSE
St Andrews Church,"5904 MAIN ST, MOUNT JACKSON 22842",MOUNT JACKSON,SHENANDOAH,91A1-((A))-167,38.747601,-78.641317,175100,NA,FALSE,TRUE
