congregation_name,sadd,scity,pid,uid,lan_val,rgisacre,deed_acres,zon,zon_desc,lat,lon,qct,fema_fz
All Saints Sharon Chapel,"3421 FRANCONIA RD, ALEXANDRIA 22310",ALEXANDRIA,0822 01  0049,0822 01  0049_FAIRFAX_VA_173B2F10-D0C2-4826-8418-EF8983F68FE9,966000,4.39355,NA,R-2,RESIDENTIAL,38.791945,-77.090651,0,X
All Saints Sharon Chapel,"3421 FRANCONIA RD, ALEXANDRIA 22310",ALEXANDRIA,0824 01  0040,0824 01  0040_FAIRFAX_VA_29D2DD9D-6F47-45AD-8286-85411128AF45,43000,1.66813,NA,R-2,RESIDENTIAL,38.791273,-77.091599,0,X
Aquia Church,STAFFORD 22554,STAFFORD,21        48A,21        48A_STAFFORD_VA_ABCD1881-6AFC-4B93-ACCC-91BFD05E1387,100,1.52881,NA,R1,SUBURBAN RESIDENTIAL,38.463754,-77.402608,0,X
Aquia Church,STAFFORD 22554,STAFFORD,21        48C,21        48C_STAFFORD_VA_2AC4ADC0-A7E2-4704-971B-978FFE38C0A2,100,1.11501,NA,R1,SUBURBAN RESIDENTIAL,38.463722,-77.40181399999999,0,X
Aquia Church,STAFFORD 22554,STAFFORD,21        48D,21        48D_STAFFORD_VA_F752F84C-079F-4AD9-B141-C7776D30E324,100,0.97377,NA,R1,SUBURBAN RESIDENTIAL,38.464634,-77.401983,0,X
Aquia Church,STAFFORD 22554,STAFFORD,21        48E,21        48E_STAFFORD_VA_D2634842-FEE8-4493-8818-5BADE0187D43,100,0.94775,NA,R1,SUBURBAN RESIDENTIAL,38.464490999999995,-77.401544,0,X
North Farnham Parish Church,FARNHAM 22460,FARNHAM,32-136,32-136_RICHMOND_VA_DEF924E5-F9B3-497C-A618-0F4691D3B001,26150,2.05225,NA,A-1,NA,37.886625,-76.624605,0,X
North Farnham Parish Church,FARNHAM 22460,FARNHAM,32-137A,32-137A_RICHMOND_VA_5C80170E-5F64-4772-B56C-4693043EBFD6,600,0.44677,NA,R-1,NA,37.886210000000005,-76.624921,0,X
St Asaphs Church,"130 SOUTH MAIN ST, BOWLING GREEN 22427",BOWLING GREEN,43A4-3-A-3,43A4-3-A-3_CAROLINE_VA_8D634FC1-7A7B-4580-8A95-29D97AF45244,50000,0.19374,NA,RP,NA,38.047798,-77.346472,0,X
St Asaphs Church,"130 SOUTH MAIN ST, BOWLING GREEN 22427",BOWLING GREEN,43A4-3-A-4,43A4-3-A-4_CAROLINE_VA_26EFEB22-14D7-499D-98C5-B35A12DD290F,50000,0.19397,NA,RP,NA,38.04792,-77.346524,0,X
St James Church,MONTROSS 22520,MONTROSS,34A2-1-6-12A,34A2-1-6-12A_WESTMORELAND_VA_56712AC0-00BB-45D4-8751-F050494469EB,NA,1.12368,NA,A1,NA,38.094094,-76.826997,0,X
St James Church,MONTROSS 22520,MONTROSS,34A2-1-6-7B,34A2-1-6-7B_WESTMORELAND_VA_98F5B32C-431B-465C-9BF3-E889A1142981,NA,0.26251,NA,A1,NA,38.09448,-76.827351,0,X
St James Church,MONTROSS 22520,MONTROSS,34A2-1-6-7E,34A2-1-6-7E_WESTMORELAND_VA_37A67A9B-98B3-43B2-9CA5-11248AE6F36E,NA,0.39791,NA,A1,NA,38.094116,-76.827473,0,NA
St Johns Episcopal Church,"415 10 ST, WEST POINT 23181",WEST POINT,69A1-53-735A,69A1-53-735A_KING-WILLIAM_VA_CB97AA16-2A4A-4696-8348-0599A19C3F9F,42500,0.06783,NA,R-4,NA,37.534479999999995,-76.797079,0,X
St Johns Episcopal Church,"415 10 ST, WEST POINT 23181",WEST POINT,69A1-53-738,69A1-53-738_KING-WILLIAM_VA_F49276F9-76E5-476A-BECA-CF7BE62B80C0,42500,0.13568,NA,R-4,NA,37.534521,-76.796962,0,X
St Johns Episcopal Church,"902 MAIN ST, WEST POINT 23181",WEST POINT,69A1-46-628,69A1-46-628_KING-WILLIAM_VA_497C6E6D-9F6B-48F2-9586-54ECE5A0B7E8,75000,0.12669,NA,B-2,GENERAL BUSINESS,37.533843,-76.79732100000001,0,X
St Johns Episcopal Church,"902 MAIN ST, WEST POINT 23181",WEST POINT,69A1-46-629,69A1-46-629_KING-WILLIAM_VA_C9B64A02-6A09-462D-A1C1-E7F5ABD3C648,75000,0.12671,NA,B-2,GENERAL BUSINESS,37.533717,-76.797252,0,X
St Johns Episcopal Church,"902 MAIN ST, WEST POINT 23181",WEST POINT,69A1-46-630,69A1-46-630_KING-WILLIAM_VA_10B9EF58-1766-4507-828C-A1B71513B28F,75000,0.12664,NA,B-2,GENERAL BUSINESS,37.533592,-76.797183,0,X
St Johns Episcopal Church,"916 Main Street, West Point, VA, 23181, USA",UNASSIGNED,54-66,54-66_KING-WILLIAM_VA_E7964C16-84F3-4AC8-BD5D-5FD510B06A87,44000,1.93903,NA,NA,HISTORIC PRESERVATION,37.617206,-76.921844,0,X
St Johns Episcopal Church,"916 Main Street, West Point, VA, 23181, USA",WEST POINT,69A1-46-624,69A1-46-624_KING-WILLIAM_VA_6876F922-53C6-4657-AF16-7938B0C365EA,25000,0.06591,NA,B-2,GENERAL BUSINESS,37.533695,-76.796742,0,X
St Johns Episcopal Church,"916 Main Street, West Point, VA, 23181, USA",WEST POINT,69A1-46-624A,69A1-46-624A_KING-WILLIAM_VA_EDAB549D-3F2E-4166-B4A1-0AAACCE5B22C,11250,0.06608,NA,B-2,GENERAL BUSINESS,37.533722,-76.796664,0,X
St Johns Episcopal Church,"916 Main Street, West Point, VA, 23181, USA",WEST POINT,69A1-46-625,69A1-46-625_KING-WILLIAM_VA_187B8D42-5F7B-4656-B4BA-ADD95D25E88A,140000,0.13222,NA,B-2,GENERAL BUSINESS,37.533654,-76.796859,0,X
St Johns Episcopal Church,"916 Main Street, West Point, VA, 23181, USA",WEST POINT,69A1-46-627,69A1-46-627_KING-WILLIAM_VA_AAF45E17-20A1-48C2-A4BC-0299FDDEE23D,25000,0.12673,NA,B-2,GENERAL BUSINESS,37.533968,-76.79738900000001,0,X
St Johns Episcopal Church,"916 Main Street, West Point, VA, 23181, USA",WEST POINT,69A1-46-631,69A1-46-631_KING-WILLIAM_VA_9915CB0D-3B70-465A-AB69-115AA4DFC79E,140000,0.12686,NA,B-2,GENERAL BUSINESS,37.533466,-76.797114,0,X
St Pauls Church,"532 15th St, West Point, VA, 23181, USA",WEST POINT,69A3-85-1294B,69A3-85-1294B_KING-WILLIAM_VA_22BD56EC-9A79-456A-A76C-EE3813CB3D38,80000,0.02721,NA,NA,LOCAL BUSINESS,37.538339,-76.796967,0,X
St Pauls Church,"532 15th St, West Point, VA, 23181, USA",WEST POINT,69A3-85-1295,69A3-85-1295_KING-WILLIAM_VA_E21748C0-2D5B-4660-9BE6-060FF446948E,80000,0.16509,NA,NA,LOCAL BUSINESS,37.538427000000006,-76.797017,0,X
St Pauls Church,"532 15th St, West Point, VA, 23181, USA",WEST POINT,69A3-85-1296,69A3-85-1296_KING-WILLIAM_VA_E91AD8B2-300E-4B00-B046-A86A15F5040F,80000,0.1644,NA,NA,LOCAL BUSINESS,37.53858,-76.797102,0,X
St Pauls Church,"532 15th St, West Point, VA, 23181, USA",WEST POINT,69A3-85-1297,69A3-85-1297_KING-WILLIAM_VA_D21D685F-A442-43AD-A86A-8734AB3B5C35,80000,0.16672,NA,NA,LOCAL BUSINESS,37.538384,-76.797358,0,X
St Pauls Church,"532 15th St, West Point, VA, 23181, USA",WEST POINT,69A3-85-1300,69A3-85-1300_KING-WILLIAM_VA_AA831D06-E78D-4D56-B9F6-0C9CD7068248,80000,0.16671,NA,NA,LOCAL BUSINESS,37.538324,-76.797532,0,X
St Pauls Church,"532 15th St, West Point, VA, 23181, USA",WEST POINT,69A3-85-1301,69A3-85-1301_KING-WILLIAM_VA_F28D9823-8048-4A27-B784-0F1D1F70A60E,80000,0.16667,NA,NA,LOCAL BUSINESS,37.538263,-76.797706,0,X
St Pauls Church Nomini Grove,WARSAW 22572,WARSAW,52-8A,52-8A_WESTMORELAND_VA_A9A223F5-FBE3-4E4D-AAFA-66E14B8B03DB,NA,0.18617,NA,A1,NA,38.034041,-76.744599,0,X
St Pauls Church Nomini Grove,WARSAW 22572,WARSAW,52-9,52-9_WESTMORELAND_VA_2D943ABD-25C0-47B7-A302-0ADD56D6C319,NA,2.72444,NA,A1,NA,38.0338,-76.745535,0,X
St Peters Church,"823 WATER ST, PORT ROYAL 22535",PORT ROYAL,13A-1-C-1,13A-1-C-1_CAROLINE_VA_1B464984-65AD-4496-940B-108670E7CFBE,80000,0.56733,NA,RP,NA,38.171476,-77.188801,0,X
St Peters Church,"823 WATER ST, PORT ROYAL 22535",PORT ROYAL,13A-1-C-3,13A-1-C-3_CAROLINE_VA_D13F3109-3264-4E76-A250-0276A9E78AFD,80000,0.57876,NA,RP,NA,38.171133000000005,-77.189154,0,X
St Stephens Church,"20119, Catlett, VA, USA",UNASSIGNED,7923-02-3175-000,7923-02-3175-000_FAUQUIER_VA_15CCD251-919D-4CDE-884C-6D2FDF6CEA88,35900,8.71859,NA,RA,RURAL AGRICULTURAL,38.681191,-77.668450000000007,0,X
St Stephens Church,"20119, Catlett, VA, USA",UNASSIGNED,7923-02-3175-800,7923-02-3175-800_FAUQUIER_VA_FF7A2727-2B32-4769-9D89-47866406D682,115000,1.01454,NA,RA,RURAL AGRICULTURAL,38.680599,-77.66720699999999,0,X
