uid,pid,congregation_name,congr_name,sadd,scity,scounty,sstate,szip,lat,lon,attendance_2023,lan_val,rgisacre,church,cemetery,school,parking,open_space,residence
69A3-85-1297_KING-WILLIAM_VA_D21D685F-A442-43AD-A86A-8734AB3B5C35,69A3-85-1297,St Pauls Church,St Pauls Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.538384,-76.797358,0,80000,0.16672,1,NA,NA,NA,NA,NA
69A3-85-1295_KING-WILLIAM_VA_E21748C0-2D5B-4660-9BE6-060FF446948E,69A3-85-1295,St Pauls Church,St Pauls Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.538427000000006,-76.797017,0,80000,0.16509,1,NA,NA,NA,NA,NA
69A1-46-631_KING-WILLIAM_VA_9915CB0D-3B70-465A-AB69-115AA4DFC79E,69A1-46-631,St Johns Episcopal Church,St Johns Episcopal Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.533466,-76.797114,28,140000,0.12686,1,NA,NA,NA,NA,NA
69A1-46-627_KING-WILLIAM_VA_AAF45E17-20A1-48C2-A4BC-0299FDDEE23D,69A1-46-627,St Johns Episcopal Church,St Johns Episcopal Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.533968,-76.79738900000001,28,25000,0.12673,1,NA,NA,NA,NA,NA
69A1-46-624_KING-WILLIAM_VA_6876F922-53C6-4657-AF16-7938B0C365EA,69A1-46-624,St Johns Episcopal Church,St Johns Episcopal Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.533695,-76.796742,28,25000,0.06591,1,NA,NA,1,NA,NA
69A3-85-1296_KING-WILLIAM_VA_E91AD8B2-300E-4B00-B046-A86A15F5040F,69A3-85-1296,St Pauls Church,St Pauls Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.53858,-76.797102,0,80000,0.1644,1,NA,NA,NA,NA,NA
69A1-46-625_KING-WILLIAM_VA_187B8D42-5F7B-4656-B4BA-ADD95D25E88A,69A1-46-625,St Johns Episcopal Church,St Johns Episcopal Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.533654,-76.796859,28,140000,0.13222,1,NA,NA,1,NA,NA
69A3-85-1294B_KING-WILLIAM_VA_22BD56EC-9A79-456A-A76C-EE3813CB3D38,69A3-85-1294B,St Pauls Church,St Pauls Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.538339,-76.796967,0,80000,0.02721,1,NA,NA,NA,NA,NA
69A1-46-624A_KING-WILLIAM_VA_EDAB549D-3F2E-4166-B4A1-0AAACCE5B22C,69A1-46-624A,St Johns Episcopal Church,St Johns Episcopal Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.533722,-76.796664,28,11250,0.06608,1,NA,NA,1,NA,NA
69A3-85-1300_KING-WILLIAM_VA_AA831D06-E78D-4D56-B9F6-0C9CD7068248,69A3-85-1300,St Pauls Church,St Pauls Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.538324,-76.797532,0,80000,0.16671,1,NA,NA,NA,NA,NA
69A3-85-1301_KING-WILLIAM_VA_F28D9823-8048-4A27-B784-0F1D1F70A60E,69A3-85-1301,St Pauls Church,St Pauls Church (West Point),"UNASSIGNED, WEST POINT 23181",WEST POINT,KING-WILLIAM,VA,23181,37.538263,-76.797706,0,80000,0.16667,1,NA,NA,NA,NA,NA
