congr_name,clean_name,clean_city
Abingdon Church (White Marsh),abingdon church,hayes
All Saints Church (Richmond),all saints church,henrico
Aquia Church (Stafford),aquia church,aquia harbour
Christ Church Parish (Christchurch),christ church parish,saluda
Church of the Holy Comforter (Vienna),church of the holy comforter,wolf trap
Cople Parish (Kinsale),cople parish,montross
Cople Parish (Kinsale),cople parish,hague
Cunningham Chapel Parish (Millwood),cunningham chapel parish,berryville
Cunningham Chapel Parish (Millwood),cunningham chapel parish,boyce
Epiphany Episcopal Church (Oak Hill),epiphany episcopal church,herndon
Episcopal Church of Leeds Parish (Markham),episcopal church of leeds parish,unassigned
Episcopal Church of Leeds Parish (Markham),episcopal church of leeds parish,hume
Grace Church (The Plains),grace church,unassigned
Grace Church (Millers Tavern),grace church,dunnsville
Grace Church (The Plains),grace church,broad run
Immanuel Church (King and Queen Court House),immanuel church,queen ch
Immanuel Church (King and Queen Court House),immanuel church,house
Kingston Parish (Mathews),kingston parish,NA
McIlhany Church (Albermarle) (Charlottesville),mcilhany church,north garden
Meade Memorial Church (White Post),meade memorial church,NA
North Farnham Parish Church (Farnham),north farnham parish church,warsaw
Piedmont Parish (Delaplane),piedmont parish,unassigned
St Bartholomews Episcopal Church (Richmond),st bartholomews episcopal church,henrico
St James Church (Warrenton),st james church,new baltimore
St Johns Episcopal Church (McLean),st johns episcopal church,mc lean
St Johns Episcopal Church (West Point),st johns episcopal church,unassigned
St Matthews Episcopal Church (Richmond),st matthews episcopal church,henrico
St Patricks Anglo Vietnamese Church (Falls Church),st patricks anglo vietnamese church,west falls church
St Pauls Church (Baileys Crossroads),st pauls church,falls church
St Pauls Church Nomini Grove (Warsaw),st pauls church nomini grove,colonial beach
St Peters (Oak Grove),st peters,colonial beach
St Peters (Oak Grove),st peters,NA
St Stephens Church (Catlett),st stephens church,midland
St Stephens Church (Catlett),st stephens church,unassigned
St Thomas Church (McLean),st thomas church,mc lean
Westover Parish Church (Charles City),westover parish church,NA
Wicomico Parish Church (Wicomico Church),wicomico parish church,heathsville
